,city,cloudiness,country,date,humidity,latitude,longitude,temperature,wind
388,sarangani,61,PH,1586651090,76,5.4,125.46,27.51,3.06
389,oranjemund,14,NA,1586650647,91,-28.55,16.43,14.36,0.68
390,barcelona,20,ES,1586650554,67,41.39,2.16,15.56,1.5
391,mogadishu,0,SO,1586651091,74,2.04,45.34,28.53,4.36
392,cururupu,98,BR,1586651092,90,-1.83,-44.87,25.99,2.22
393,ulfborg,97,DK,1586651093,81,56.27,8.32,9.44,4.6
394,pangnirtung,92,CA,1586651093,87,66.15,-65.71,-4.55,3.07
395,vostok,34,RU,1586650812,51,46.49,135.88,3.12,2.05
396,rosarito,40,MX,1586651093,67,32.33,-117.03,18.89,4.6
397,dauriya,0,RU,1586651093,30,49.93,116.87,9.82,2.49
398,pisco,40,PE,1586651093,73,-13.7,-76.22,23.33,7.2
399,abu zabad,6,SD,1586651093,14,12.35,29.25,24.9,7.06
400,solnechnyy,22,RU,1586650979,53,50.72,136.63,6.49,2.31
401,nobeoka,100,JP,1586651093,89,32.58,131.67,10.99,3.4
402,havre-saint-pierre,1,CA,1586651093,69,50.23,-63.6,1.0,3.1
403,chaohu,3,CN,1586651093,71,31.6,117.87,14.44,7.0
404,geraldton,75,AU,1586650743,100,-28.77,114.6,22.22,2.1
405,princeton,90,US,1586651093,83,25.54,-80.41,26.11,2.1
406,villazon,0,BO,1586651077,12,-22.09,-65.59,12.49,1.2
407,mahon,27,ES,1586651094,82,39.89,4.27,13.0,3.6
408,harper,87,LR,1586651097,81,4.38,-7.72,26.94,1.57
409,kharp,23,RU,1586651097,90,66.8,65.81,-12.07,2.41
410,rawlins,75,US,1586651097,34,41.79,-107.24,11.0,13.4
411,inirida,18,CO,1586651097,86,3.87,-67.92,25.2,0.81
412,sivas,0,TR,1586651097,50,39.79,37.0,1.27,1.28
413,biak,38,ID,1586651098,68,-0.91,122.88,27.25,1.24
414,colac,75,AU,1586651098,89,-38.33,143.58,13.89,3.01
415,belyy yar,0,RU,1586651054,85,53.6,91.39,-5.0,1.0
416,lisakovsk,100,KZ,1586651102,76,52.54,62.49,2.79,2.88
417,namatanai,100,PG,1586650947,73,-3.67,152.43,28.75,0.8
418,haines junction,0,CA,1586650754,60,60.75,-137.51,2.2,1.0
419,port hawkesbury,90,CA,1586651102,74,45.62,-61.35,3.33,2.6
420,natitingou,98,BJ,1586651102,32,10.3,1.38,29.11,0.92
421,talaya,100,RU,1586651102,87,61.38,152.75,-6.63,0.94
422,mackay,64,AU,1586651102,62,-21.15,149.2,30.0,2.1
423,kamaishi,40,JP,1586651102,65,39.27,141.88,8.0,1.0
424,boca do acre,100,BR,1586651102,90,-8.75,-67.4,24.48,0.87
425,kokologo,1,BF,1586651102,31,12.19,-1.89,32.0,1.5
426,lakes entrance,86,AU,1586650943,73,-37.88,147.98,13.33,0.45
427,tefe,100,BR,1586651102,97,-3.35,-64.71,23.22,1.44
428,sur,31,OM,1586650818,69,22.57,59.53,25.46,6.42
429,chadiza,43,ZM,1586651103,72,-14.07,32.44,15.87,1.13
430,salym,41,RU,1586651103,91,60.06,71.48,0.74,2.06
431,taylorville,90,US,1586651103,58,39.55,-89.29,14.44,7.7
432,qui nhon,97,VN,1586651103,79,13.77,109.23,26.48,0.31
433,dzerzhinskoye,0,RU,1586651103,84,56.83,95.23,0.53,2.03
434,billings,90,US,1586651018,86,45.78,-108.5,-1.67,5.7
435,bluefields,40,NI,1586651103,74,12.01,-83.76,29.0,2.1
436,kaduqli,37,SD,1586651103,12,11.02,29.72,28.29,7.23
437,normandin,90,CA,1586651103,93,48.83,-72.53,0.56,4.1
438,basqal,75,AZ,1586651103,81,40.76,48.39,7.0,0.88
439,mount pleasant,1,US,1586651103,59,32.79,-79.86,18.33,4.38
440,impfondo,100,CG,1586651011,89,1.64,18.07,21.6,2.11
441,nagua,20,DO,1586651048,88,19.38,-69.85,27.0,4.1
442,katangli,88,RU,1586651104,90,51.71,143.23,0.92,5.08
443,daru,95,PG,1586651104,74,-9.08,143.21,28.8,4.58
444,pudozh,0,RU,1586651104,92,61.81,36.53,-3.34,0.83
445,lac du bonnet,99,CA,1586650955,55,50.25,-96.06,0.0,3.13
446,coffs harbour,0,AU,1586650975,40,-30.3,153.13,20.0,6.7
447,mayor pablo lagerenza,0,PY,1586650482,40,-19.93,-60.77,21.77,1.41
448,revda,88,RU,1586651104,80,56.8,59.93,1.0,3.0
449,atambua,79,ID,1586651104,73,-9.11,124.89,25.41,1.27
450,manaus,75,BR,1586651066,94,-3.1,-60.02,25.0,2.1
451,maniwaki,76,CA,1586651104,89,46.38,-75.97,-0.45,1.34
452,tieling,0,CN,1586651104,40,42.29,123.84,11.07,6.28
453,swadlincote,3,GB,1586651107,81,52.77,-1.56,14.0,2.1
454,atherton,1,GB,1586650505,93,53.52,-2.49,11.11,0.5
455,sunland park,1,US,1586651018,9,31.8,-106.58,22.22,6.2
456,jawhar,24,SO,1586651107,71,2.78,45.5,27.42,2.67
457,liverpool,2,GB,1586650627,100,53.41,-2.98,11.11,1.5
458,souillac,75,MU,1586650700,83,-20.52,57.52,24.44,2.6
459,marsh harbour,39,BS,1586651107,82,26.54,-77.06,23.05,8.36
460,pali,50,IN,1586651107,29,25.77,73.33,25.43,1.74
461,alice springs,41,AU,1586650845,14,-23.7,133.88,26.0,0.5
462,colares,0,PT,1586651107,82,38.8,-9.45,14.0,2.6
463,moramanga,79,MG,1586651107,73,-18.93,48.2,16.36,1.02
464,naryan-mar,84,RU,1586651107,95,67.67,53.09,-11.09,4.26
465,gorontalo,5,ID,1586651103,67,0.54,123.06,27.46,1.43
466,nyagan,100,RU,1586651107,92,62.14,65.39,1.36,1.45
467,sayat,90,TM,1586651108,93,38.78,63.88,17.0,5.1
468,bose,0,IT,1586651108,52,45.46,8.01,15.0,1.0
469,hamilton,20,US,1586650859,59,39.18,-84.53,15.0,3.1
470,dangriga,20,BZ,1586651112,79,16.97,-88.23,29.0,4.1
471,terrace,5,CA,1586650872,17,54.52,-128.6,12.0,3.6
472,ouadda,100,CF,1586651112,69,8.08,22.4,21.45,1.38
473,mabaruma,100,GY,1586651112,73,8.2,-59.78,25.12,2.88
474,kalmunai,6,LK,1586650854,81,7.42,81.82,26.89,2.26
475,gweta,69,BW,1586651112,38,-20.18,25.23,24.02,1.21
476,kamenka,70,RU,1586651112,82,51.32,42.77,0.56,5.81
477,sawakin,46,SD,1586651112,71,19.11,37.33,22.72,5.58
478,jiazi,34,CN,1586650858,65,22.88,116.07,17.61,8.41
479,aksarka,7,RU,1586651112,90,66.56,67.8,-12.35,1.5
480,abnub,0,EG,1586651112,41,27.27,31.15,14.0,3.6
481,ngunguru,68,NZ,1586651112,73,-35.62,174.5,21.11,5.36
482,miri,75,MY,1586651112,94,4.41,114.01,28.0,1.0
483,ust-kuyga,45,RU,1586651113,92,70.02,135.6,-3.27,6.41
484,itarema,100,BR,1586651113,86,-2.92,-39.92,26.24,2.46
485,san policarpo,95,PH,1586651113,73,12.18,125.51,27.16,1.46
486,coquimbo,82,CL,1586651113,87,-29.95,-71.34,15.0,4.6
487,khagaria,7,IN,1586651113,25,25.5,86.48,24.36,1.84
488,novaya igirma,4,RU,1586651113,81,57.13,103.91,0.32,0.83
489,cayenne,90,GF,1586650993,74,4.93,-52.33,27.0,2.1
490,diego de almagro,38,CL,1586651113,47,-26.37,-70.05,13.4,0.19
491,margate,41,GB,1586650869,93,51.38,1.39,13.89,1.5
492,george,94,ZA,1586650965,87,-33.96,22.46,16.0,3.1
493,channel-port aux basques,66,CA,1586651113,95,47.57,-59.14,0.17,9.06
494,sao joao da barra,99,BR,1586651114,90,-21.64,-41.05,22.09,7.25
495,krasnyy luch,38,UA,1586651114,71,48.14,38.94,3.0,6.3
496,sao luiz gonzaga,0,BR,1586651114,64,-28.41,-54.96,15.49,3.49
497,lazaro cardenas,51,MX,1586651114,62,17.96,-102.2,28.03,2.51
498,chiredzi,84,ZW,1586651082,62,-21.05,31.67,19.31,2.35
499,vila velha,90,BR,1586650820,83,-20.33,-40.29,24.44,1.0
500,uva,100,RU,1586651114,67,56.99,52.19,6.11,1.34
501,manuk mangkaw,49,PH,1586651114,68,4.8,119.85,28.23,0.29
502,kpandu,94,GH,1586651114,76,7.0,0.29,25.95,2.11
503,portland,20,US,1586651104,36,45.52,-122.68,17.22,3.6
504,mattawa,1,US,1586651114,25,46.74,-119.9,18.0,9.8
505,bull savanna,8,JM,1586651114,74,17.89,-77.59,25.01,2.7
506,narsaq,100,GL,1586651114,48,60.92,-46.05,5.0,20.6
507,kidal,13,ML,1586651115,20,18.44,1.41,29.31,2.44
508,gornopravdinsk,6,RU,1586651115,93,60.05,69.9,0.47,1.95
509,buala,93,SB,1586651115,71,-8.14,159.59,29.31,2.36
510,kerman,75,IR,1586651115,34,30.28,57.08,18.0,4.1
511,butte,1,US,1586651115,49,39.65,-121.57,22.0,5.7
512,conde,52,BR,1586651115,88,-7.26,-34.91,26.0,3.1
513,udachnyy,44,RU,1586651046,68,66.42,112.4,-3.0,4.0
514,asnaes,100,DK,1586651115,70,55.81,11.5,8.89,4.1
515,rocha,48,UY,1586651115,85,-34.48,-54.33,14.39,2.52
516,pogar,0,RU,1586651115,86,52.55,33.26,-0.33,3.21
517,moose factory,90,CA,1586651115,86,51.26,-80.61,-3.0,3.6
518,bengkulu,31,ID,1586650850,81,-3.8,102.27,26.2,2.08
519,chany,27,RU,1586651116,85,55.31,76.76,1.19,3.26
520,shirokiy,0,RU,1586651116,61,49.76,129.52,8.54,2.93
521,telde,40,ES,1586651116,72,27.99,-15.42,19.0,8.2
522,stupava,35,SK,1586651116,56,48.27,17.03,10.0,1.0
523,kostomuksha,1,RU,1586651116,94,64.57,30.58,-6.6,1.55
524,bereznik,23,RU,1586651116,96,62.86,42.71,-4.42,1.35
525,healdsburg,75,US,1586651116,77,38.61,-122.87,20.56,5.1
526,tazovskiy,100,RU,1586651116,96,67.47,78.7,-8.38,5.67
527,inhuma,89,BR,1586651116,84,-6.67,-41.71,23.42,0.94
528,chunhuhub,0,MX,1586651116,43,19.55,-88.68,31.06,3.16
529,umm kaddadah,94,SD,1586651116,15,13.6,26.69,24.34,7.02
530,eskisehir,63,TR,1586651117,60,39.78,30.52,5.0,2.1
531,tonekabon,40,IR,1586651117,87,36.82,50.87,10.0,0.94
532,nandgaon,2,IN,1586651117,18,20.32,74.65,26.76,1.3
533,sibu,75,MY,1586651117,88,2.3,111.82,26.0,0.5
534,skagen,97,DK,1586651117,89,57.72,10.58,7.78,5.36
535,bubaque,8,GW,1586651117,79,11.28,-15.83,25.82,7.18
536,meadow lake,1,US,1586651117,10,34.8,-106.54,20.56,12.3
537,buarcos,75,PT,1586651117,93,40.17,-8.88,13.89,1.5
538,muros,90,ES,1586651117,93,42.78,-9.06,12.78,2.6
539,terrace bay,56,CA,1586651117,72,48.78,-87.1,2.6,5.52
